word,topic_0,topic_1,topic_2,topic_3
Toad,0.00019434167188592255,0.00011538733815541491,6.6420775510778185e-06,4.881012500845827e-06
California live oak,0.00019415031420066953,6.184127869346412e-06,6.615671281906543e-06,4.854126018472016e-06
Monolith,8.326853276230395e-06,6.192283763084561e-06,6.6263046392123215e-06,0.0001361837494187057
Holy places,0.0019259920809417963,6.205117642821278e-06,1.4480000572802965e-05,4.861510660703061e-06
Sea cave,0.0010309864301234484,6.280986781348474e-06,1.512646304036025e-05,4.915721547149587e-06
Museum,6.7482064878277015e-06,6.249200396268861e-06,0.00029430646100081503,4.881967015535338e-06
Animal sports,0.0006316069629974663,6.225490324140992e-06,0.0005615070695057511,4.9404420678911265e-06
Klippe,0.0001255869137821719,6.1794235080014914e-06,6.6112247623095755e-06,4.846308456762927e-06
Mosquito,6.724500963173341e-06,6.194079560373211e-06,6.609031061088899e-06,0.00014009070582687855
Wrasses,6.724167633365141e-06,0.00017858149658422917,6.614207904931391e-06,4.855737188336207e-06
Marine biology,0.00051590905059129,0.022616924718022346,7.1999024839897174e-06,0.0001576807553647086
Turquoise,6.8566787376767024e-06,0.00042865955037996173,0.0012696003541350365,0.000260685890680179
Intrusion,0.00012552370026241988,6.191161901369924e-06,6.610928721784148e-06,4.850992809224408e-06
Kelp,6.798176400479861e-06,0.0008593655657023191,6.703186045342591e-06,4.885403996013338e-06
Table,0.0021922443993389606,1.356105804006802e-05,2.9763581551378593e-05,2.3298181986319833e-05
Indian cobra,6.723449132550741e-06,7.271806680364534e-06,6.61963485981687e-06,8.787209662841633e-05
Temperate broadleaf and mixed forest,6.734159342158819e-06,0.00016779282304923981,8.35212085803505e-06,6.099014626670396e-06
Sheep,0.0004516968037933111,6.212993412191281e-06,6.644909717579139e-06,4.8889419304032344e-06
Tartan,0.00025224071578122675,6.259961082832888e-06,6.7171813498134725e-06,0.00043257875950075686
Street football,6.726489118591417e-06,6.178663170430809e-06,6.606075658055488e-06,9.059827425517142e-05
Button,6.84511451254366e-06,6.288154963840498e-06,6.7490755100152455e-06,0.0006730028544552624
Parrotfish,6.721096724504605e-06,0.00017861896776594222,6.609863248741021e-06,4.853033260587836e-06
Thoroughfare,7.858522621972952e-06,6.992701401031809e-06,0.0020068723242729902,8.28064548841212e-06
Head,4.821992479264736e-05,6.447718988056295e-06,0.00666241068392992,5.716280611522961e-06
Puma,6.77494790579658e-06,1.1334243936289568e-05,6.909546755196061e-06,0.0017108789179474115
Snow,0.005111393053084612,0.00027075805701315403,0.00018043446470983326,0.0011943124700337648
Transport,7.35342109692283e-06,0.0005338128539733589,7.374419055850012e-06,0.0016152577009052038
Choreography,0.0002987433399539441,6.199729341460625e-06,6.631526503042551e-06,4.862512014369713e-06
Woven fabric,6.7745731939794496e-06,6.218500402610516e-06,0.00041784069617278874,1.027677262754878e-05
Types of volcanic eruptions,0.00012557278387248516,6.183915502333548e-06,6.6056850300810765e-06,4.850155619351426e-06
Tail,6.7604387368191965e-06,8.48872969072545e-06,0.00012394860095810145,0.0005120778223499656
Watercraft,6.71699535814696e-06,0.0014431294985115528,6.60762589177466e-06,5.060563580627786e-06
Darkness,0.00863510649651289,0.004029536619782448,0.0015405445592477918,7.015050869085826e-06
Official,0.0007032923167571425,6.254059371713083e-06,0.00015641935169696808,4.88463547299034e-06
Flock,7.317030849662842e-06,1.0457659300300293e-05,6.612416655116249e-06,0.0008042147383093834
Cheerleading,6.724565082549816e-06,6.189142823131988e-06,6.6168199737148825e-06,9.054826659848914e-05
Floor,7.159347660490312e-06,6.217284862941597e-06,0.000672012276481837,0.00018518957949709147
Machine,0.0004477211623452604,6.2391545725404285e-06,6.6793072619475424e-06,4.875746071775211e-06
Charadriiformes,3.595336602302268e-05,6.2706444623472635e-06,6.711488822475076e-06,0.0006237634806893766
Black,0.0020269928500056267,0.0006590108969248831,7.893042493378744e-06,0.002882289933040738
Bank,1.5007331057859119e-05,0.0012249042047187686,6.768128514522687e-06,0.0001524787221569568
Mustelinae,1.141296888818033e-05,0.00010338658466935158,6.604053851333447e-06,4.851709945796756e-06
Travel,0.006973183248192072,7.436851774400566e-06,0.0009326683939434588,2.0223480532877147e-05
Automotive window part,6.963566193007864e-06,9.742578549776226e-05,6.898393166920869e-06,0.0016130724688991904
Blue,0.002416818169876933,0.00928613729774952,0.008370477706193924,0.0012838557595387101
Car,6.878422482259339e-06,6.855658739368664e-06,7.350447958742734e-06,0.0038463897071778774
Vacation,9.285804480896331e-06,0.0009426603792235255,0.004721467383205891,0.00943235494196415
Sperm whale,6.726765150233405e-06,0.00017855271289590746,6.618744919251185e-06,4.85729333377094e-06
Volcanic landform,0.000484904128825292,6.2201374930737074e-06,6.684098934783833e-06,4.887095656158635e-06
Château,6.735187071171822e-06,0.00017686608771327883,7.118960184016032e-06,4.8573397180007305e-06
Jaguar,6.773248514946317e-06,1.3015176591579802e-05,2.341807157790754e-05,0.00035577986272983253
