word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
outdoor play equipment,2.8369408937578555e-06,2.657587401699857e-06,1.0408541584183695e-06,2.9585589800262824e-06,0.0006199005292728543,1.5787401935085654e-05
perching bird,2.8360914257063996e-06,2.6560519472695887e-06,1.0403481383036706e-06,0.004058732185512781,2.43756494455738e-06,2.1536807253141887e-06
landscape,0.008778909221291542,0.003159262239933014,0.006108657922595739,0.00860219169408083,0.018333010375499725,0.003744439221918583
boat,2.8563786145241465e-06,0.0007807557703927159,0.0016233280766755342,0.0018074378604069352,2.45702517531754e-06,2.1676617052435176e-06
backlighting,2.8621241199289216e-06,0.0007808440132066607,0.0014544585719704628,0.0005492003983817995,0.0014003440737724304,2.172087988583371e-06
ferris wheel,2.836570274666883e-06,0.0004821958136744797,1.0407807167212013e-06,3.910597570211394e-06,2.438425326545257e-06,2.1530358935706317e-06
star,2.8526055757538415e-06,0.0018404305446892977,0.00011226029164390638,2.9700222512474284e-06,0.0014636281412094831,2.1646765162586235e-06
palm tree,0.0008325186790898442,2.664322437340161e-06,0.00019271881319582462,0.000548243522644043,2.4455375751131214e-06,2.1582432054856326e-06
inflatable boat,2.8352044409984956e-06,0.0007796374848112464,1.0398183576398878e-06,2.956141997856321e-06,2.4379114620387554e-06,2.152307160940836e-06
colorfulness,0.000525197887327522,2.6620898552209837e-06,1.040914753502875e-06,2.9627178719238145e-06,2.4411428967141546e-06,2.1557314084930113e-06
jungle,0.00018399584223516285,2.67504356088466e-06,0.003723596455529332,2.9736245323874755e-06,0.00015652112779207528,2.170555717384559e-06
glasses,2.8436857064662036e-06,2.6591389996610815e-06,0.0009530297829769552,2.9644816095242277e-06,2.446055532345781e-06,2.1591715722024674e-06
sloth,2.8362564989947714e-06,2.69139763986459e-06,0.00019258102111052722,2.9586888103949605e-06,2.4391601982642896e-06,2.1535533960559405e-06
common eland,2.8386891699483385e-06,2.6581069505482446e-06,0.0014278156450018287,2.958911636596895e-06,2.440325943098287e-06,2.1526088858081494e-06
seal,0.0005255629075691104,0.0007792895776219666,1.0416198392704246e-06,2.9651375825778814e-06,2.4434489205305e-06,2.1699886474380037e-06
lovebird,2.8364295303617837e-06,2.6571742637315765e-06,1.0402468433312606e-06,2.956116532004671e-06,2.438795036141528e-06,0.00039894963265396655
alps,0.000153028653585352,2.6751890800369438e-06,0.0001150387033703737,0.007419032976031303,2.450059355396661e-06,4.757601800520206e-06
shotgun,2.8360266242088983e-06,2.65722997028206e-06,1.040377810568316e-06,2.9596510557894362e-06,2.439779109408846e-06,0.0003989054821431637
black,0.0012208992848172784,0.0015312733594328165,0.0028296795208007097,3.001300001415075e-06,2.4854662115103565e-06,0.0007509690476581454
great white shark,0.0002775749017018825,2.683117372725974e-06,1.0495180049474584e-06,2.980122872031643e-06,2.452460194035666e-06,0.011762971989810467
glacier,2.8418394322216045e-06,0.0004932766314595938,0.00030529600917361677,2.968643229905865e-06,4.015309968963265e-06,0.0029370924457907677
carnivore,0.0005970153142698109,0.00024149105593096465,0.012222029268741608,3.0245280413510045e-06,0.0032708407379686832,2.218721419922076e-06
puma,3.750926043721847e-05,2.671994252523291e-06,0.002281702822074294,2.9695831926801475e-06,2.450468173265108e-06,2.167271077269106e-06
petal,2.8376309728628257e-06,2.655446678545559e-06,0.0001927461999002844,2.958787490570103e-06,2.44016064243624e-06,2.1540051875490462e-06
tower,2.837133024513605e-06,2.6566674478090135e-06,0.0014278374146670103,2.9588636607513763e-06,2.4381160983466543e-06,2.153947662009159e-06
meteorological phenomenon,2.840072966137086e-06,2.6638929284672486e-06,1.0848344800251652e-06,0.004056280944496393,2.4414782728854334e-06,0.0006324082496576011
hunting dog,4.285405793780228e-06,2.6595016606734134e-06,0.00142045714892447,2.966359261336038e-06,2.444325218675658e-06,0.0006330125615932047
common bottlenose dolphin,2.8358481358736753e-06,2.6556947432254674e-06,0.0001927757984958589,2.957024435090716e-06,2.439192712699878e-06,2.1525349893636303e-06
window,2.8368217499519233e-06,2.656444621607079e-06,1.0403341548226308e-06,0.0005479351384565234,2.43905788011034e-06,2.153171408281196e-06
large-flowered cactus,2.835764234987437e-06,2.656485094121308e-06,0.0001927774428622797,2.956375965368352e-06,2.439048557789647e-06,2.1522969291254412e-06
graffiti,2.8390384159138193e-06,2.6590096240397543e-06,0.001427790499292314,2.960257916129194e-06,2.44089164880279e-06,2.153670493498794e-06
archaeological site,2.83484496321762e-06,2.6551376777206315e-06,1.0401932968306937e-06,2.957176775453263e-06,0.0004518725909292698,2.1527978333324427e-06
nature reserve,0.0005290897097438574,0.006414771545678377,0.004229362588375807,3.0045362109376583e-06,0.0002311443822691217,2.194625722040655e-06
compact car,0.0005026416620239615,2.6564041490928503e-06,1.0403996384411585e-06,5.238200628809864e-06,2.4387277335335966e-06,2.1533439849008573e-06
motor vehicle,2.836067096723127e-06,2.6582818009046605e-06,1.0403123269497883e-06,2.957743618026143e-06,0.000451790721854195,2.15425598071306e-06
cart,2.8385429686750285e-06,2.6576835807645693e-06,0.0003052735992241651,0.0008683117921464145,2.4413245682808338e-06,2.1559330889431294e-06
sea,0.0005217102007009089,0.0036492119543254375,0.015294695273041725,0.002747349673882127,0.005964340176433325,0.009478903375566006
amphibian,2.835385657817824e-06,0.0007795501151122153,1.0404592103441246e-06,2.9574812288046815e-06,2.439269565002178e-06,2.153816240024753e-06
sea cows,2.834774704751908e-06,0.0036456030793488026,1.040084157466481e-06,2.9574418931588298e-06,2.4387718440266326e-06,2.151931539629004e-06
bride,2.8392360036377795e-06,2.663181703610462e-06,1.0431735972815659e-06,1.842784695327282e-05,0.003345972392708063,0.003564621787518263
shirt,2.8375848160067108e-06,0.0007794969715178013,1.0407291028968757e-06,2.95707513942034e-06,2.439956006128341e-06,2.1543955881497823e-06
electronics,2.8409181140887085e-06,2.658847279235488e-06,1.041933728629374e-06,2.9629072741954587e-06,2.443218136249925e-06,0.0029547878075391054
deer,2.837603915395448e-06,0.0004920411738567054,1.041736027218576e-06,2.9603484108520206e-06,2.4401235805271426e-06,2.1539806311920984e-06
textile,0.000526400632224977,2.6649881874618586e-06,1.0469389053469058e-06,2.9721954888373148e-06,0.003345345612615347,0.0006323871784843504
vineyard,2.8356723760225577e-06,2.6558441277302336e-06,1.0407708259663195e-06,2.9575603548437357e-06,0.0007156420033425093,2.1546379684878048e-06
mustelinae,2.8366812330204993e-06,2.6572706701699644e-06,1.0402518455521204e-06,2.76900282187853e-05,0.0006023792666383088,2.1527566786971875e-06
flooring,2.837652573361993e-06,2.6590553261485184e-06,1.0409485184936784e-06,2.9590273697976954e-06,0.0007155730272643268,2.1534999632422114e-06
chelonoidis,2.835466830219957e-06,2.655877096913173e-06,1.0402845873613842e-06,2.95732911581581e-06,2.4391601982642896e-06,0.0003989562683273107
formal wear,0.0008331385906785727,0.005672881379723549,1.0446927944940398e-06,2.974004473799141e-06,2.4476983071508585e-06,2.1662006020051194e-06
wind,2.8392225885909284e-06,2.6603538572089747e-06,0.00030526425689458847,2.961749032692751e-06,0.000715933449100703,2.1577347979473416e-06
tourist attraction,2.848867552529555e-06,0.00048360571963712573,1.0493358786334284e-06,0.0009156889282166958,2.451606633258052e-06,0.0019434539135545492
fawn,0.0005266910884529352,0.0008394555770792067,0.002220047637820244,3.0102580694801873e-06,2.483419166310341e-06,0.0012442446313798428
small to medium-sized cats,2.2806061679148115e-05,2.6582997634250205e-06,0.0029875829350203276,2.9624043236253783e-06,2.444642177579226e-06,2.15782119994401e-06
